LAT_1KM_GRP,LON_1KM_GRP,AREA_NAME,TOTAL_EVENTS
34.19,-118.58,TOPANGA,526
33.91,-118.29,SOUTHEAST,523
33.9,-118.29,SOUTHEAST,521
34.23,-118.49,DEVONSHIRE,521
34.25,-118.6,DEVONSHIRE,521
34.19,-118.51,WEST VALLEY,518
33.75,-118.3,HARBOR,513
34.12,-118.21,NORTHEAST,510
34.1,-118.26,NORTHEAST,509
34.17,-118.43,VAN NUYS,509
34.21,-118.59,TOPANGA,508
34.16,-118.42,VAN NUYS,506
34.05,-118.23,HOLLENBECK,504
33.86,-118.3,HARBOR,502
34.26,-118.59,DEVONSHIRE,502
34.23,-118.39,FOOTHILL,500
34.23,-118.58,DEVONSHIRE,498
34.07,-118.24,CENTRAL,496
34.09,-118.25,NORTHEAST,495
34.14,-118.19,NORTHEAST,492
34.03,-118.39,PACIFIC,492
34.24,-118.44,MISSION,492
34.19,-118.57,TOPANGA,490
34.28,-118.39,FOOTHILL,490
33.74,-118.3,HARBOR,488
34.17,-118.56,WEST VALLEY,486
34.02,-118.23,NEWTON,482
34.17,-118.41,N HOLLYWOOD,481
33.83,-118.3,HARBOR,476
34.27,-118.4,FOOTHILL,474
34.01,-118.24,NEWTON,472
33.82,-118.31,HARBOR,472
34.09,-118.35,WILSHIRE,471
34.22,-118.5,WEST VALLEY,471
33.99,-118.34,77TH STREET,471
34.07,-118.17,HOLLENBECK,470
34.17,-118.55,WEST VALLEY,467
33.97,-118.37,PACIFIC,464
34.16,-118.41,N HOLLYWOOD,464
34.25,-118.61,DEVONSHIRE,462
34.13,-118.36,N HOLLYWOOD,462
34.22,-118.57,TOPANGA,462
34.1,-118.24,NORTHEAST,461
34.08,-118.2,HOLLENBECK,460
34.04,-118.42,WEST LA,457
34.12,-118.27,NORTHEAST,455
34.05,-118.48,WEST LA,454
34.26,-118.29,FOOTHILL,454
34.08,-118.19,HOLLENBECK,453
34.28,-118.57,DEVONSHIRE,452
34.06,-118.39,WEST LA,450
33.75,-118.31,HARBOR,449
34.08,-118.33,WILSHIRE,449
34.24,-118.59,DEVONSHIRE,449
34.26,-118.41,FOOTHILL,447
34.06,-118.32,WILSHIRE,445
34.09,-118.35,HOLLYWOOD,444
33.97,-118.46,PACIFIC,443
34.13,-118.35,N HOLLYWOOD,443
34.31,-118.47,MISSION,442
33.97,-118.39,PACIFIC,439
34.24,-118.41,FOOTHILL,439
34.3,-118.47,MISSION,437
34.31,-118.46,MISSION,436
34.22,-118.36,FOOTHILL,435
34.09,-118.16,HOLLENBECK,434
34.13,-118.22,NORTHEAST,434
34.21,-118.41,N HOLLYWOOD,434
34.32,-118.46,MISSION,434
34.03,-118.44,PACIFIC,433
34.09,-118.3,NORTHEAST,432
34.21,-118.39,N HOLLYWOOD,432
34.16,-118.47,VAN NUYS,431
33.74,-118.31,HARBOR,428
34.19,-118.52,WEST VALLEY,427
34.13,-118.19,NORTHEAST,426
33.98,-118.26,NEWTON,426
34.1,-118.2,NORTHEAST,425
33.73,-118.31,HARBOR,424
34.3,-118.42,MISSION,424
34.07,-118.18,HOLLENBECK,422
34.04,-118.28,SOUTHWEST,421
33.97,-118.4,PACIFIC,421
33.97,-118.42,PACIFIC,421
34.11,-118.21,NORTHEAST,420
34.32,-118.44,MISSION,418
34.23,-118.48,DEVONSHIRE,416
34.26,-118.46,MISSION,413
34.01,-118.44,PACIFIC,413
34.1,-118.18,HOLLENBECK,410
34.14,-118.38,N HOLLYWOOD,410
34.22,-118.53,WEST VALLEY,409
34.16,-118.53,WEST VALLEY,409
34.16,-118.5,WEST VALLEY,408
34.21,-118.45,MISSION,408
33.94,-118.31,77TH STREET,407
34.18,-118.55,WEST VALLEY,406
34.07,-118.19,HOLLENBECK,404
33.84,-118.31,HARBOR,403
34.21,-118.43,VAN NUYS,403
33.98,-118.38,PACIFIC,402
34.08,-118.31,HOLLYWOOD,401
34.26,-118.49,DEVONSHIRE,400
34.17,-118.5,WEST VALLEY,399
34.27,-118.47,MISSION,398
34.18,-118.52,WEST VALLEY,397
34.2,-118.47,WEST VALLEY,395
34.21,-118.44,VAN NUYS,395
34.21,-118.5,WEST VALLEY,394
34.06,-118.19,HOLLENBECK,394
34.14,-118.34,N HOLLYWOOD,392
34.21,-118.35,FOOTHILL,392
34.23,-118.61,TOPANGA,392
34.13,-118.23,NORTHEAST,386
33.86,-118.29,HARBOR,386
34.14,-118.2,NORTHEAST,386
34.09,-118.34,WILSHIRE,385
34.05,-118.4,WEST LA,385
34.11,-118.18,NORTHEAST,383
34.11,-118.23,NORTHEAST,381
34.21,-118.56,WEST VALLEY,380
34.21,-118.49,WEST VALLEY,379
34.22,-118.61,TOPANGA,379
34.03,-118.38,WEST LA,378
34.26,-118.58,DEVONSHIRE,378
